Programming Language	Nov 2025	Nov 2024	Position#	Ratings	Change
Python	1	1		23.37%	+0.52%
C	2	4	up	9.68%	+0.67%
C++	3	2	down	8.95%	-1.69%
Java	4	3	down	8.54%	-1.06%
C#	5	5		7.65%	+2.67%
JavaScript	6	6		3.42%	-0.29%
Visual Basic	7	9	up	3.31%	+1.36%
Delphi/Object Pascal	8	11	up	2.06%	+0.58%
Perl	9	27	upup	1.84%	+1.16%
SQL	10	10		1.80%	-0.14%
Go	11	7	downdown	1.72%	-0.63%
R	12	18	upup	1.67%	+0.65%
Fortran	13	8	downdown	1.55%	-0.42%
Rust	14	14		1.39%	+0.21%
MATLAB	15	13	down	1.38%	+0.11%
PHP	16	12	downdown	1.31%	-0.16%
Ada	17	25	upup	1.23%	+0.52%
Assembly language	18	19	up	1.16%	+0.20%
Scratch	19	16	down	1.02%	-0.09%
Kotlin	20	20		0.98%	+0.06%
Swift	21			0.86%	
Ruby	22			0.79%	
Classic Visual Basic	23			0.74%	
Lisp	24			0.74%	
COBOL	25			0.72%	
Dart	26			0.69%	
SAS	27			0.60%	
Prolog	28			0.58%	
Julia	29			0.55%	
Lua	30			0.50%	
Objective-C	31			0.43%	
(Visual) FoxPro	32			0.32%	
TypeScript	33			0.32%	
Haskell	34			0.32%	
Scala	35			0.31%	
ABAP	36			0.29%	
PL/SQL	37			0.26%	
Elixir	38			0.20%	
Solidity	39			0.20%	
PowerShell	40			0.17%	
V	41			0.16%	
Bash	42			0.16%	
LabVIEW	43			0.15%	
VBScript	44			0.15%	
Erlang	45			0.15%	
ML	46			0.14%	
Apex	47			0.14%	
Ladder Logic	48			0.14%	
Zig	49			0.14%	
RPG	50			0.13%	
ActionScript	51				
Algol	52				
Awk	53				
B4X	54				
Caml	55				
CHILL	56				
CLIPS	57				
Clojure	58				
Common Lisp	59				
Crystal	60				
D	61				
Elm	62				
F#	63				
Forth	64				
GAMS	65				
Groovy	66				
Hack	67				
Icon	68				
Inform	69				
Io	70				
JScript	71				
Logo	72				
Maple	73				
Modula-2	74				
Mojo	75				
MQL5	76				
NATURAL	77				
Nim	78				
OCaml	79				
Occam	80				
OpenCL	81				
PL/I	82				
Q	83				
Racket	84				
REXX	85				
S	86				
Scheme	87				
Simulink	88				
Smalltalk	89				
SPARK	90				
SPSS	91				
Stata	92				
SystemVerilog	93				
Tcl	94				
Transact-SQL	95				
VHDL	96				
Wolfram	97				
X++	98				
XC	99				
Xojo	100				
